time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.9482,0.7795,0.8647,0.7658,0.5641
2.0,0.9473,0.7591,0.7687,0.7518,0.5561
3.0,0.9248,0.7662,0.7628,0.8172,0.5679
4.0,0.9457,0.7908,0.7805,0.754,0.5817
5.0,0.9147,0.786,0.8126,0.7602,0.5798
6.0,0.9146,0.81,0.8238,0.7541,0.6022
7.0,0.9075,0.7787,0.7781,0.779,0.5777
8.0,0.9402,0.7682,0.7927,0.7665,0.5793
9.0,0.9567,0.7691,0.7714,0.6351,0.5848
10.0,0.9491,0.7788,0.7939,0.7371,0.5904
11.0,0.9385,0.7589,0.7913,0.7328,0.6072
12.0,0.9464,0.7386,0.8286,0.7328,0.5998
13.0,0.9349,0.7888,0.838,0.7593,0.5754
14.0,0.951,0.7675,0.8928,0.768,0.5534
15.0,0.9418,0.7454,0.7599,0.6925,0.5089
16.0,0.844,0.7588,0.8271,0.7192,0.4977
17.0,0.9643,0.7951,0.8371,0.7996,0.4608
18.0,0.7966,0.8199,0.8322,0.7641,0.4541
19.0,0.9721,0.8458,0.8594,0.7699,0.4242
20.0,0.7656,0.817,0.8609,0.7635,0.4066
21.0,0.7035,0.7015,0.8061,0.6649,0.3898
22.0,0.6567,0.6526,0.824,0.6659,0.371
23.0,0.9588,0.5807,0.6963,0.6459,0.3422
24.0,0.6219,0.5624,0.6889,0.6342,0.3289
25.0,0.9805,0.6498,0.6431,0.7743,0.3404
26.0,0.9678,0.6348,0.6815,0.6499,0.0
27.0,0.9779,0.6028,0.6969,0.7242,0.0
28.0,0.9785,0.5987,0.6878,0.6711,0.0
29.0,0.5548,0.5742,0.6151,0.7286,0.0
30.0,0.6052,0.5815,0.5758,0.7529,0.0
31.0,0.9834,0.5202,0.4527,0.4549,0.0
32.0,0.8995,0.515,0.4261,0.4131,0.0
33.0,0.9673,0.7653,0.7071,0.7113,0.0
34.0,0.8074,0.7289,0.717,0.67,0.0
35.0,0.9773,0.7011,0.6708,0.7799,0.0
36.0,0.9449,0.6624,0.6275,0.745,0.0
37.0,0.9671,0.5268,0.5396,0.7492,0.0
38.0,0.7068,0.4997,0.5421,0.6304,0.0
39.0,0.6955,0.6761,0.5161,0.7417,0.0
40.0,0.8974,0.6516,0.6424,0.6812,0.0
