TimeStep,CellId,x_center,y_center,Orientation,MajorAxisLength,lable,parent
1,1,72.6137390136719,361.806213378906,-62.7694702148438,46.620361328125,1,0
1,2,264.666625976563,208.587600708008,81.3710479736328,51.1689567565918,2,0
1,3,308.862976074219,181.083267211914,73.2717742919922,46.8458518981934,3,0
1,4,236.0244140625,213.793319702148,-87.4632873535156,84.1273040771484,4,0
1,5,254.454193115234,233.282043457031,-87.9341888427734,135.869903564453,5,0
1,6,298.984252929688,241.676071166992,80.2648620605469,51.4357719421387,6,0
2,1,70.0703887939453,373.576538085938,-63.4142303466797,51.2417793273926,1,0
2,2,265.543365478516,212.490600585938,82.0172882080078,47.6036376953125,2,0
2,8,318.722930908203,173.772705078125,70.8607025146484,26.6075267791748,3,3
2,7,236.85661315918,257.766265869141,-87.2664947509766,15.2861890792847,3,3
2,4,229.666275024414,228.153060913086,-85.8568115234375,80.3937454223633,4,0
2,10,250.254531860352,214.206787109375,-86.8153228759766,64.5752944946289,5,5
2,9,260.34912109375,253.768859863281,-88.9897003173828,48.2623252868652,5,5
2,6,293.429809570313,241.208618164063,80.5734405517578,40.2850074768066,6,0
3,1,119.703765869141,363.531982421875,-70.5661010742188,58.0640983581543,1,0
3,2,263.411956787109,218.005416870117,83.1473693847656,41.9738807678223,2,0
3,4,226.550354003906,231.314041137695,-84.1074523925781,86.0078353881836,4,0
3,10,256.738555908203,206.219436645508,-88.1597900390625,65.5426330566406,5,5
3,9,300.682220458984,210.016387939453,81.7037353515625,45.5383453369141,5,5
3,6,280.500671386719,255.970565795898,83.4600219726563,38.3573684692383,6,0
4,1,119.867652893066,360.046997070313,-70.875732421875,70.5757217407227,1,0
4,2,276.568969726563,193.071624755859,78.488037109375,64.6587982177734,2,0
4,4,215.453247070313,240.177703857422,-81.7578125,88.5133819580078,4,0
4,10,247.148803710938,216.477340698242,-85.8446350097656,70.7350311279297,5,5
4,9,329.209228515625,162.220474243164,72.9818572998047,48.1468505859375,5,5
4,6,238.831390380859,288.976684570313,-88.4488372802734,45.9444580078125,6,0
5,1,149.422058105469,347.450286865234,-75.9019470214844,77.3546829223633,1,0
5,2,277.171417236328,174.664627075195,75.2217254638672,81.0341186523438,2,0
5,12,249.471984863281,179.829483032227,87.9233856201172,51.7397537231445,4,4
5,11,241.666702270508,230.536590576172,-88.2594451904297,23.6482391357422,4,4
5,10,254.12646484375,204.046783447266,-88.0592498779297,74.6006088256836,5,5
5,9,349.365692138672,114.999061584473,65.2217407226563,54.5648345947266,5,5
5,14,204.379013061523,318.535430908203,-82.4639892578125,38.3125381469727,6,6
5,13,214.95051574707,290.608856201172,-85.1179351806641,11.1640186309814,6,6
6,1,144.471832275391,349.063140869141,-74.9635314941406,89.9487152099609,1,0
6,2,278.995239257813,160.743392944336,73.2330017089844,85.6551361083984,2,0
6,12,265.757232666016,156.990646362305,82.9980773925781,54.4400367736816,4,4
6,16,274.10302734375,164.428726196289,85.6893310546875,52.7674980163574,5,10
6,15,168.271697998047,292.012512207031,-69.6341552734375,13.731409072876,5,10
6,18,351.646575927734,146.57893371582,66.364990234375,17.561954498291,5,9
6,17,367.207641601563,52.5666122436523,56.882568359375,40.549373626709,5,9
6,14,155.955261230469,346.152923583984,-74.6308441162109,39.1499137878418,6,6
7,1,140.692886352539,349.578887939453,-74.3187103271484,100.990516662598,1,0
7,20,313.237518310547,88.4807510375977,56.9566192626953,52.7171363830566,2,2
7,19,246.885116577148,188.477676391602,85.2577819824219,32.7030296325684,2,2
7,12,262.197998046875,164.316696166992,84.6641235351563,56.0580062866211,4,4
7,16,254.160980224609,200.277313232422,-87.3741455078125,51.2524719238281,5,10
7,22,314.923706054688,190.310913085938,80.3013305664063,33.5907402038574,5,17
7,21,242.589202880859,273.307403564453,-85.3171081542969,22.641284942627,5,17
7,24,194.530624389648,335.215698242188,-80.6835784912109,27.7704811096191,6,14
8,26,75.2477874755859,348.791961669922,-64.1788787841797,17.1015548706055,1,1
8,25,135.031005859375,343.1416015625,-75.1031646728516,36.8347969055176,1,1
8,28,167.137710571289,277.29833984375,-82.47119140625,10.609658241272,2,20
8,27,303.179351806641,102.912139892578,59.9279327392578,25.356050491333,2,20
8,19,248.442657470703,169.777740478516,82.6733856201172,29.8375186920166,2,2
8,30,257.510162353516,153.746383666992,85.2505340576172,15.8870515823364,4,12
8,29,229.282501220703,210.386322021484,-86.0612487792969,23.2629947662354,4,12
8,31,264.734313964844,181.238098144531,88.8793029785156,45.519416809082,5,16
8,22,322.762969970703,192.717254638672,79.6268768310547,45.3435325622559,5,17
9,34,157.533798217773,343.149047851563,-80.1855163574219,39.3251647949219,1,25
9,33,34.6249313354492,348.379364013672,-60.0238952636719,19.0026874542236,1,25
9,36,155.208267211914,269.467529296875,-76.5174102783203,15.0890655517578,2,27
9,35,39.7155990600586,315.219787597656,-56.9662475585938,17.1557998657227,2,27
9,19,250.647506713867,153.901428222656,81.7377166748047,38.0862693786621,2,2
9,29,255.334594726563,181.300018310547,86.5243530273438,31.7409839630127,4,12
9,31,265.005889892578,172.600158691406,87.5198974609375,37.503288269043,5,16
9,22,287.934234619141,250.806564331055,88.2396087646484,56.3180618286133,5,17
10,34,187.869003295898,319.891632080078,-86.1986999511719,35.4863319396973,1,25
10,19,266.796051025391,133.69206237793,76.6273651123047,50.4428176879883,2,2
10,29,248.1494140625,188.383438110352,88.4593658447266,28.9917888641357,4,12
10,31,237.425109863281,207.432418823242,-82.9723052978516,32.9702033996582,5,16
10,22,294.421356201172,231.802093505859,87.025146484375,55.0432052612305,5,17
11,34,189.650115966797,300.811492919922,-85.9549560546875,30.5952110290527,1,25
11,19,237.675476074219,164.913009643555,85.8833923339844,60.7622489929199,2,2
11,29,217.720489501953,222.572448730469,-82.6651000976563,33.6982383728027,4,12
11,31,205.846603393555,229.675354003906,-75.8572235107422,39.286922454834,5,16
11,22,276.694519042969,246.470840454102,-88.8544464111328,52.8238067626953,5,17
12,34,193.79035949707,292.911041259766,-87.1195678710938,48.5217628479004,1,25
12,19,186.192230224609,217.892044067383,-78.20458984375,64.6705322265625,2,2
12,29,193.160034179688,242.133560180664,-76.4829254150391,31.534236907959,4,12
12,31,162.045043945313,253.686614990234,-65.4219360351563,44.676212310791,5,16
12,38,201.421020507813,292.123107910156,-71.7155456542969,18.3001861572266,5,22
12,37,288.469146728516,231.857467651367,88.0026092529297,40.2531356811523,5,22
13,34,237.221282958984,252.025085449219,83.1069641113281,56.9847183227539,1,25
13,19,169.045028686523,227.160675048828,-73.7900848388672,53.8134498596191,2,2
13,40,256.374267578125,163.134307861328,86.6743469238281,9.7190408706665,4,29
13,39,166.11360168457,257.946502685547,-69.3449554443359,23.3692016601563,4,29
13,31,136.908477783203,264.252807617188,-59.6910552978516,46.2214851379395,5,16
13,38,272.420074462891,226.055938720703,-85.9205474853516,26.5044231414795,5,22
13,37,304.313293457031,209.050506591797,83.9404754638672,41.957820892334,5,22
14,34,241.673095703125,246.483627319336,82.3436889648438,71.4838562011719,1,25
14,19,124.114570617676,251.429550170898,-63.4161529541016,54.0198593139648,2,2
14,39,136.099227905273,271.255737304688,-62.6973876953125,25.9080963134766,4,29
14,31,80.8344268798828,289.614685058594,-47.4962768554688,55.5757141113281,5,16
14,38,308.402435302734,163.835571289063,83.9157257080078,42.2326965332031,5,22
14,37,302.722778320313,212.034805297852,84.6897430419922,49.9193267822266,5,22
15,42,164.924331665039,318.051971435547,-82.7706909179688,48.3617286682129,1,34
15,41,319.308135986328,87.3953018188477,54.72412109375,36.7556838989258,1,34
15,44,256.733093261719,-16.5668125152588,48.6383056640625,18.4040966033936,2,19
15,43,98.9423599243164,267.737670898438,-58.6273193359375,33.3981285095215,2,19
15,39,76.0850448608398,287.203826904297,-49.1550140380859,26.8397006988525,4,29
15,31,296.862976074219,-14.784327507019,55.583251953125,60.1501274108887,5,16
15,38,322.765991210938,128.759078979492,78.0818023681641,48.779598236084,5,22
15,37,293.527618408203,226.323333740234,87.1412811279297,54.4538726806641,5,22
16,42,80.8268203735352,344.816497802734,-68.2783203125,54.0161972045898,1,34
16,41,-23.9285659790039,322.812835693359,-46.5625305175781,43.5754165649414,1,34
16,44,68.1457901000977,248.478912353516,-53.6045989990234,27.4652309417725,2,19
16,46,180.200332641602,222.786224365234,-77.2711181640625,27.1350326538086,2,43
16,45,169.756042480469,212.724258422852,-74.5941162109375,17.2593727111816,2,43
16,39,294.702697753906,-31.2619037628174,49.6484069824219,28.6628475189209,4,29
16,48,309.910278320313,10.4614362716675,60.6896057128906,31.0924339294434,5,31
16,47,268.189239501953,79.1089630126953,74.5561981201172,30.423360824585,5,31
16,38,337.609741210938,90.4123611450195,71.7762145996094,51.8911437988281,5,22
16,37,286.762847900391,231.53254699707,87.2298278808594,52.3302192687988,5,22
17,42,23.5892963409424,347.875701904297,-59.3699951171875,62.1368865966797,1,34
17,41,36.9724311828613,314.618499755859,-58.6746826171875,64.1752166748047,1,34
17,44,94.8512878417969,228.856262207031,-60.5923309326172,43.2036323547363,2,19
17,46,181.043014526367,216.316162109375,-78.1085815429688,31.3334522247314,2,43
17,48,305.344848632813,4.56921100616455,60.4989318847656,31.60422706604,5,31
17,47,265.131896972656,45.2718353271484,68.1671600341797,35.7809867858887,5,31
17,38,337.188171386719,75.1079788208008,69.7691955566406,60.5439376831055,5,22
17,37,271.645050048828,242.817825317383,-89.8270721435547,63.0386390686035,5,22
18,42,16.6694145202637,346.592254638672,-58.4026031494141,64.1100540161133,1,34
18,41,62.9820404052734,304.752380371094,-64.4354095458984,63.707633972168,1,34
18,44,86.514533996582,224.941482543945,-58.4684906005859,48.1481742858887,2,19
18,46,189.032241821289,201.872924804688,-80.4206237792969,33.2220191955566,2,43
18,48,300.472839355469,43.2181854248047,67.4825134277344,34.6007957458496,5,31
18,47,258.665710449219,40.8679351806641,68.5400543212891,40.2150497436523,5,31
18,38,338.793640136719,50.2632904052734,66.6019287109375,73.9911727905273,5,22
18,37,238.691589355469,277.35595703125,-82.4010925292969,58.6869201660156,5,22
19,42,-10.9768085479736,345.211547851563,-54.0828399658203,73.9240798950195,1,34
19,41,81.931526184082,296.472320556641,-68.6431427001953,65.2968902587891,1,34
19,44,84.9864654541016,219.613220214844,-58.6757507324219,50.0468864440918,2,19
19,46,175.774658203125,208.414276123047,-76.5615386962891,36.220386505127,2,43
19,48,293.482849121094,67.8637313842773,72.8919372558594,34.6675567626953,5,31
19,47,255.311386108398,24.9449901580811,65.7491760253906,44.5183219909668,5,31
19,38,337.039306640625,45.0889205932617,66.7473754882813,85.1586456298828,5,22
19,37,188.377548217773,317.124145507813,-71.9317932128906,60.3704833984375,5,22
